CASENUMBER,VIOLATIONOPENDATE,CITATIONTYPE,CITATIONNUMBER,DEFICIENCYCODE,DEFICIENCYTEXT,FEEAMOUNT,OUTSTANDINGFEE,LEGALOUTCOME,LEGALOUTCOMEDATE
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,0,Liable,07/12/2019 12:00:00 AM +0000
2018-153351 CV,08/25/2018 12:00:00 AM +0000,Admin Hearing Citation,5284,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,1128,Liable,12/19/2018 12:00:00 AM +0000
2018-056870 CV,03/21/2018 12:00:00 AM +0000,Admin Hearing Citation,002506,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,580,Liable,07/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Liable,07/12/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002453,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",1000,1080,Liable,07/12/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",80,1080,Liable,02/21/2019 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07540,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",-250,-250,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property is advertising more than the maximum allowable guests as permitted by the STR ordinance. NO more than 10 adults.",1000,1080,Liable,02/21/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,80,830,Liable,04/12/2018 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002453,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",80,1080,Liable,07/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",750,0,Liable,07/12/2019 12:00:00 AM +0000
2018-062728 CV,03/30/2018 12:00:00 AM +0000,Admin Hearing Citation,002510,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,1080,Liable,06/18/2019 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07541,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,250,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",80,0,Liable,07/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",80,0,Liable,07/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",80,0,Liable,07/12/2019 12:00:00 AM +0000
2018-207198 CV,12/08/2018 12:00:00 AM +0000,Admin Hearing Citation,005343,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",128,1128,Liable,06/17/2019 12:00:00 AM +0000
2019-025423 CV,02/16/2019 12:00:00 AM +0000,Admin Hearing Citation,07537,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,500,0,Liable,08/02/2019 12:00:00 AM +0000
2019-052544 CV,04/06/2019 12:00:00 AM +0000,Admin Hearing Citation,06979,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,628,Liable,07/30/2019 12:00:00 AM +0000
2018-017514 CV,02/12/2018 12:00:00 AM +0000,Admin Hearing Citation,002124,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults. A total of nine guest were observed as over night guest.",80,1080,Liable,07/11/2019 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005354,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,0,Liable,12/18/2018 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07529,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",-250,-250,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
2018-012992 CV,02/01/2018 12:00:00 AM +0000,Admin Hearing Citation,002121,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",500,580,Liable,07/11/2019 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07529,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,250,Closed/Mailed in Penalty Paid,06/11/2019 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",80,830,Closed due to Judicial / Admin Action,11/08/2018 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005354,80086,25-2-794 - GENERAL REQUIREMENTS FOR SHORT-TERM RENTALS.A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental without including: (1) the license number assigned by the City to the short-term rental; and (2) the applicable occupancy limit for the short-term rental,750,0,Liable,10/18/2018 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002453,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",750,830,Liable,07/12/2019 12:00:00 AM +0000
2018-151977 CV,08/22/2018 12:00:00 AM +0000,Admin Hearing Citation,004498,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,01/24/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000164,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,0,Liable,07/12/2019 12:00:00 AM +0000
2018-151977 CV,08/22/2018 12:00:00 AM +0000,Admin Hearing Citation,5281,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,12/11/2018 12:00:00 AM +0000
2018-077668 CV,04/27/2018 12:00:00 AM +0000,Admin Hearing Citation,002512,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,600,680,Liable,09/27/2018 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,002453,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property is advertising more than the maximum allowable guests as permitted by the STR ordinance. NO more than 10 adults.",80,1080,Liable,07/12/2019 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005354,80086,25-2-794 - GENERAL REQUIREMENTS FOR SHORT-TERM RENTALS.A licensee or operator may not advertise or promote or allow another to advertise or promote a short-term rental without including: (1) the license number assigned by the City to the short-term rental; and (2) the applicable occupancy limit for the short-term rental,500,0,Liable,10/18/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000063,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",1000,0,Liable,02/21/2019 12:00:00 AM +0000
2018-194885 CV,11/09/2018 12:00:00 AM +0000,Admin Hearing Citation,005316,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",300,0,Closed/Mailed in Penalty Paid,08/06/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.The property was found to be advertising without a license on display.",1000,1080,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",300,0,Liable,02/21/2019 12:00:00 AM +0000
2018-012992 CV,02/01/2018 12:00:00 AM +0000,Admin Hearing Citation,002121,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.The property was found to be in violation of the STR ordinance by renters found at the property staying for less than 30 days.,80,580,Liable,07/11/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000062,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,0,Liable,07/12/2019 12:00:00 AM +0000
