CASENUMBER,VIOLATIONOPENDATE,CITATIONTYPE,CITATIONNUMBER,DEFICIENCYCODE,DEFICIENCYTEXT,FEEAMOUNT,OUTSTANDINGFEE,LEGALOUTCOME,LEGALOUTCOMEDATE
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000064,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",1000,0,Liable,02/21/2019 12:00:00 AM +0000
2018-203354 CV,11/30/2018 12:00:00 AM +0000,Admin Hearing Citation,07527,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,628,Liable,08/06/2019 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07529,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",750,0,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,001288,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",80,0,Liable,02/21/2019 12:00:00 AM +0000
2018-062728 CV,03/30/2018 12:00:00 AM +0000,Admin Hearing Citation,002510,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,0,Liable,12/19/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002238,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",635,715,Liable,04/12/2018 12:00:00 AM +0000
2018-020570 CV,02/17/2018 12:00:00 AM +0000,Admin Hearing Citation,002239,80709,"An owner, or a person in control of a dwelling, may not advertise or promote, or allow another to advertise or promote, the dwelling as a short- term rental if the dwelling is not licensed by the director as a short-term rental.",635,715,Liable,04/12/2018 12:00:00 AM +0000
2018-151977 CV,08/22/2018 12:00:00 AM +0000,Admin Hearing Citation,5285,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,300,0,Closed/Mailed in Penalty Paid,12/11/2018 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005354,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,0,Liable,10/18/2018 12:00:00 AM +0000
2018-108006 CV,06/22/2018 12:00:00 AM +0000,Admin Hearing Citation,002138,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",300,0,Penalty Paid,12/27/2018 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000164,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",1000,0,Liable,02/21/2019 12:00:00 AM +0000
2018-210318 CV,12/14/2018 12:00:00 AM +0000,Admin Hearing Citation,07540,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,750,0,Closed/Mailed in Penalty Paid,04/08/2019 12:00:00 AM +0000
2018-060468 CV,03/27/2018 12:00:00 AM +0000,Admin Hearing Citation,002552,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,1000,Liable,07/12/2019 12:00:00 AM +0000
2018-008635 CV,01/23/2018 12:00:00 AM +0000,Admin Hearing Citation,000164,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.",750,0,Liable,07/12/2019 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005353,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,0,Liable,12/18/2018 12:00:00 AM +0000
2018-130460 CV,08/02/2018 12:00:00 AM +0000,Admin Hearing Citation,005353,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,128,0,Liable,12/18/2018 12:00:00 AM +0000
2018-062728 CV,03/30/2018 12:00:00 AM +0000,Admin Hearing Citation,002510,80710,A person must obtain a license to operate a short-term rental before a property may be used as a short-term rental.,1000,0,Liable,06/18/2019 12:00:00 AM +0000
2018-012956 CV,01/31/2018 12:00:00 AM +0000,Admin Hearing Citation,2454,80711,"A short-term rental use may not be used by more than:(1) ten adults at one time, unless a stricter limit applies; or(2) six unrelated adults.The property has updated the over occupancy number to 16, up from 14 previously noted.",1000,1080,Liable,02/21/2019 12:00:00 AM +0000
